array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
252291_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49120;AT3G49110	[AT3G49120, PRXCB (PEROXIDASE CB); peroxidase];[AT3G49110, PRXCA (PEROXIDASE CA); peroxidase]	[AT3G49120, 3];[AT3G49110, 3]	[AT3G49120, 18209848];[AT3G49110, 18202698]	[AT3G49120, 18210028];[AT3G49110, 18202878]
252292_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49000	RNA polymerase III subunit RPC82 family protein	3	18164843	18165841
252293_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48990	AMP-dependent synthetase and ligase family protein	3	18159040	18160027
252294_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49010	ATBBC1 (ARABIDOPSIS THALIANA BREAST BASIC CONSERVED 1); structural constituent of ribosome	3	18167007	18167788
252295_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49100	signal recognition particle 9 kDa protein, putative / SRP9, putative	3	18196944	18198274
252296_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48970	copper-binding family protein	3	18152415	18153115
252297_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48930	EMB1080 (embryo defective 1080); structural constituent of ribosome	3	18141052	18142053
252298_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49060	protein kinase family protein / U-box domain-containing protein	3	18187410	18188032
252299_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49150	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: protein insertion into membrane; LOCATED IN: integral to membrane; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810), FBD-like (InterPro:IPR006566), 60 kDa inner membrane insertion protein (InterPro:IPR001708), Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT3G59240.1); Has 1228 Blast hits to 1197 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 27; Fungi - 2; Plants - 1199; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	3	18220206	18221556
252300_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49160	pyruvate kinase family protein	3	18222133	18222787
252301_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49162	pseudogene of glycoside hydrolase family 28 protein	3	18225564	18226315
252302_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49190	condensation domain-containing protein	3	18232000	18232877
252303_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49210	unknown protein	3	18238222	18239095
252304_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49230	unknown protein	3	18254430	18255116
252305_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49240	emb1796 (embryo defective 1796); ATP binding	3	18257390	18257958
252306_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49270	unknown protein	3	18267352	18267790
252307_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49280	transposable element gene	3	18270091	18270911
252308_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49310	LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF791 (InterPro:IPR008509), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G27720.1); Has 550 Blast hits to 545 proteins in 201 species: Archae - 5; Bacteria - 285; Metazoa - 85; Fungi - 33; Plants - 99; Viruses - 0; Other Eukaryotes - 43 (source: NCBI BLink).	3	18285319	18285979
252309_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49340	cysteine proteinase, putative	3	18293350	18294138
252310_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49350	RAB GTPase activator	3	18297683	18298258
252311_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49370	calcium-dependent protein kinase, putative / CDPK, putative	3	18304975	18306112
252312_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49380	iqd15 (IQ-domain 15); calmodulin binding	3	18311956	18312590
252313_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49390	CID10; RNA binding / protein binding	3	18314920	18316459
252314_at	oligonucleotide	Arabidopsis thaliana	no	AT3G49400	transducin family protein / WD-40 repeat family protein	3	18319263	18320700
252315_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48690	CXE12; carboxylesterase	3	18037205	18037763
252316_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48700	ATCXE13 (ARABIDOPSIS THALIANA CARBOXYESTERASE 13); hydrolase	3	18038845	18039414
252317_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48720	transferase family protein	3	18048771	18049107
252318_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48730	GSA2 (glutamate-1-semialdehyde 2,1-aminomutase 2); catalytic/ glutamate-1-semialdehyde 2,1-aminomutase/ pyridoxal phosphate binding / transaminase	3	18050861	18051524
252319_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48710	EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DEK, C-terminal (InterPro:IPR014876); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G63550.2); Has 48226 Blast hits to 25734 proteins in 1103 species: Archae - 54; Bacteria - 6881; Metazoa - 21026; Fungi - 4604; Plants - 1514; Viruses - 306; Other Eukaryotes - 13841 (source: NCBI BLink).	3	18043216	18043920
252320_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48580	xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative	3	18007573	18008319
252321_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48510	unknown protein	3	17967573	17968156
252322_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48550	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 12 growth stages; BEST Arabidopsis thaliana protein match is: nucleic acid binding / transcription factor/ zinc ion binding (TAIR:AT2G01940.3); Has 40 Blast hits to 40 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	3	17994141	17994585
252323_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48530	KING1 (SNF1-RELATED PROTEIN KINASE REGULATORY SUBUNIT GAMMA 1)	3	17988859	17989548
252324_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48570	protein transport protein SEC61 gamma subunit, putative	3	18003979	18004091
252325_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48560	CSR1 (CHLORSULFURON/IMIDAZOLINONE RESISTANT 1); acetolactate synthase/ pyruvate decarboxylase	3	18001559	18002075
252326_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48680	GAMMA CAL2 (GAMMA CARBONIC ANHYDRASE-LIKE 2); transferase	3	18035294	18036729
252327_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48740	nodulin MtN3 family protein	3	18052829	18054143
252328_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48570	protein transport protein SEC61 gamma subunit, putative	3	18004605	18004907
252329_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48760	zinc finger (DHHC type) family protein	3	18077509	18078010
252330_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48770	ATP binding / DNA binding	3	18079384	18079847
252331_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48780;AT3G48790	[AT3G48780, SPT1 (SERINE PALMITOYLTRANSFERASE 1); serine C-palmitoyltransferase];[AT3G48790, serine C-palmitoyltransferase, putative]	[AT3G48780, 3];[AT3G48790, 3]	[AT3G48780, 18091626];[AT3G48790, 18094622]	[AT3G48780, 18092222];[AT3G48790, 18095115]
252332_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48810	pentatricopeptide (PPR) repeat-containing protein	3	18098452	18099024
252333_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48830	polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein	3	18108951	18110138
252334_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48850	mitochondrial phosphate transporter, putative	3	18114760	18115624
252335_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48860	unknown protein	3	18120521	18121853
252336_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48880	F-box family protein	3	18128209	18128823
252337_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48750	CDC2 (CELL DIVISION CONTROL 2); cyclin-dependent protein kinase/ kinase/ protein binding / protein kinase	3	18072828	18074274
252338_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48890	ATMP2; heme binding	3	18129787	18131264
252339_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48900	DNA binding / catalytic/ chromatin binding / nuclease	3	18135175	18136085
252340_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48920	AtMYB45 (myb domain protein 45); DNA binding / transcription factor	3	18139835	18140553
252341_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48940	remorin family protein	3	18142872	18144143
252342_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48950	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein	3	18149422	18149952
252343_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48610	phosphoesterase family protein	3	18011667	18012739
252344_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48620;AT3G44160	[AT3G48620, FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: outer membrane; CONTAINS InterPro DOMAIN/s: Bacterial surface antigen (D15) (InterPro:IPR000184); BEST Arabidopsis thaliana protein match is: chloroplast outer membrane protein-related (TAIR:AT3G44160.1); Has 304 Blast hits to 304 proteins in 68 species: Archae - 0; Bacteria - 126; Metazoa - 0; Fungi - 0; Plants - 74; Viruses - 0; Other Eukaryotes - 104 (source: NCBI BLink).];[AT3G44160, chloroplast outer membrane protein-related]	[AT3G48620, 3];[AT3G44160, 3]	[AT3G48620, 18017076];[AT3G44160, 15889286]	[AT3G48620, 18017689];[AT3G44160, 15889891]
252345_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48640	unknown protein	3	18021709	18022243
252346_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48650	pseudogene, At14a-related protein, similar to At14a (GI:11994571 and GI:11994573) (Arabidopsis thaliana)	3	18025433	18025910
252347_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48130	ribosomal protein L13 homolog	3	17774971	17775126
252348_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48140	senescence-associated protein, putative	3	17778472	17779299
252349_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48150	APC8 (ANAPHASE-PROMOTING COMPLEX SUBUNIT 8); binding	3	17779802	17780504
252350_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48190	ATM (ATAXIA-TELANGIECTASIA MUTATED); 1-phosphatidylinositol-3-phosphate 5-kinase	3	17827060	17828350
252351_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48210	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 4 anthesis, F mature embryo stage, petal differentiation and expansion stage, D bilateral stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Kinetochore-Ndc80 complex, subunit Spc25 (InterPro:IPR013255); Has 142 Blast hits to 142 proteins in 51 species: Archae - 0; Bacteria - 2; Metazoa - 61; Fungi - 34; Plants - 34; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).	3	17850120	17851124
252352_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48185	unknown protein	3	17793061	17793302
252353_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48200	unknown protein	3	17832951	17833540
252354_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48170	ALDH10A9; 3-chloroallyl aldehyde dehydrogenase/ oxidoreductase	3	17786298	17787363
252355_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48250	pentatricopeptide (PPR) repeat-containing protein	3	17870073	17870633
252356_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48370	transposable element gene	3	17914275	17914534
252357_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48410	hydrolase, alpha/beta fold family protein	3	17925908	17926624
252358_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48425	endonuclease/exonuclease/phosphatase family protein	3	17933210	17934461
252359_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48440	zinc finger (CCCH-type) family protein	3	17942729	17943547
252360_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48480	cysteine-type peptidase	3	17957341	17959022
252361_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48490	unknown protein	3	17961339	17961739
252362_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48500	RNA binding	3	17964505	17965393
252363_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48460	GDSL-motif lipase/hydrolase family protein	3	17950058	17951049
252364_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48450	nitrate-responsive NOI protein, putative	3	17944255	17944780
252365_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48350	cysteine proteinase, putative	3	17906472	17907303
252366_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48420	haloacid dehalogenase-like hydrolase family protein	3	17930378	17931544
252367_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48360	BT2 (BTB AND TAZ DOMAIN PROTEIN 2); protein binding / transcription factor/ transcription regulator	3	17908619	17909646
252368_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48520	CYP94B3; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	3	17975147	17975631
252371_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48070	protein binding / zinc ion binding	3	17751465	17751880
252372_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48000	ALDH2B4 (ALDEHYDE DEHYDROGENASE 2B4); 3-chloroallyl aldehyde dehydrogenase/ ATP binding / aldehyde dehydrogenase (NAD)	3	17717088	17718069
252373_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48090	EDS1 (enhanced disease susceptibility 1); lipase/ signal transducer/ triacylglycerol lipase	3	17755577	17756150
252374_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48100	ARR5 (ARABIDOPSIS RESPONSE REGULATOR 5); transcription regulator/ two-component response regulator	3	17759119	17760733
252375_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48040	ROP10 (RHO-RELATED PROTEIN FROM PLANTS 10); GTP binding / GTPase	3	17731596	17733225
252376_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47930	ATGLDH (L-GALACTONO-1,4-LACTONE DEHYDOROGENASE); L-gulono-1,4-lactone dehydrogenase/ galactonolactone dehydrogenase	3	17686308	17687394
252377_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47960	proton-dependent oligopeptide transport (POT) family protein	3	17698270	17698704
252378_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47570	leucine-rich repeat transmembrane protein kinase, putative	3	17530070	17530650
252379_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47730	ATATH1; ATPase, coupled to transmembrane movement of substances / transporter	3	17594355	17595042
252380_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47740	ATATH2; ATPase, coupled to transmembrane movement of substances / transporter	3	17604244	17604959
252381_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47760;AT3G47750	[AT3G47760, ATATH4; ATPase, coupled to transmembrane movement of substances / transporter];[AT3G47750, ABCA4 (ATP BINDING CASSETTE SUBFAMILY A4); ATPase, coupled to transmembrane movement of substances / transporter]	[AT3G47760, 3];[AT3G47750, 3]	[AT3G47760, 17615970];[AT3G47750, 17610209]	[AT3G47760, 17616630];[AT3G47750, 17610880]
252382_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47770	ATATH5; ATPase, coupled to transmembrane movement of substances / transporter	3	17621993	17622675
252383_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47780	ATATH6; ATPase, coupled to transmembrane movement of substances / transporter	3	17628308	17628965
252385_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47810	MAG1 (MAIGO 1); hydrolase/ protein serine/threonine phosphatase	3	17637334	17639003
252386_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47840	pentatricopeptide (PPR) repeat-containing protein	3	17653437	17653928
252387_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47800	aldose 1-epimerase family protein	3	17636470	17636995
252388_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47850	unknown protein	3	17654261	17655526
252389_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47833	unknown protein	3	17648728	17649829
252390_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47836	unknown protein	3	17650365	17651634
252391_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47860	apolipoprotein D-related	3	17656781	17657378
252392_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47890;AT3G47910	[AT3G47890, ubiquitin thiolesterase/ zinc ion binding];[AT3G47910, ubiquitin thiolesterase/ zinc ion binding]	[AT3G47890, 3];[AT3G47910, 3]	[AT3G47890, 17667667];[AT3G47910, 17675237]	[AT3G47890, 17668228];[AT3G47910, 17675819]
252394_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47940	DNAJ heat shock protein, putative	3	17688232	17688947
252395_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47950	AHA4; ATPase/ hydrogen-exporting ATPase, phosphorylative mechanism	3	17696928	17697740
252396_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47980	integral membrane HPP family protein	3	17710477	17710793
252397_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47980	integral membrane HPP family protein	3	17711537	17711887
252398_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47990	zinc finger (C3HC4-type RING finger) family protein	3	17713429	17714343
252399_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48010	ATCNGC16; calmodulin binding / cyclic nucleotide binding / ion channel	3	17721375	17722014
252400_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48020	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 4 anthesis, LP.04 four leaves visible; BEST Arabidopsis thaliana protein match is: F-box family protein-related (TAIR:AT5G62860.1); Has 38 Blast hits to 38 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	3	17724608	17724988
252401_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48030	hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein	3	17725470	17725990
252402_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48060;AT3G48050	[AT3G48060, bromo-adjacent homology (BAH) domain-containing protein];[AT3G48050, DNA binding / protein binding / transcription regulator]	[AT3G48060, 3];[AT3G48050, 3]	[AT3G48060, 17743472];[AT3G48050, 17734514]	[AT3G48060, 17743825];[AT3G48050, 17734867]
252403_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48080	lipase class 3 family protein / disease resistance protein-related	3	17753129	17753697
252404_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48110	EDD1 (EMBRYO-DEFECTIVE-DEVELOPMENT 1); glycine-tRNA ligase	3	17769849	17770954
252405_at	oligonucleotide	Arabidopsis thaliana	no	AT3G48120	unknown protein	3	17772655	17774375
252406_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47670	enzyme inhibitor/ pectinesterase/ pectinesterase inhibitor	3	17575157	17575508
252407_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47520	MDH (MALATE DEHYDROGENASE); L-malate dehydrogenase/ binding / catalytic/ malate dehydrogenase/ oxidoreductase/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor	3	17514269	17514708
252408_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47600	ATMYB94 (MYB DOMAIN PROTEIN 94); DNA binding / transcription factor	3	17539708	17540205
252409_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47650	bundle-sheath defective protein 2 family / bsd2 family	3	17569577	17570262
252410_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47450	NOA1 (NO ASSOCIATED 1); GTPase/ nitric-oxide synthase	3	17483278	17483987
252411_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47430	PEX11B	3	17480887	17481675
252412_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47295	unknown protein	3	17428068	17428371
252413_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47370	40S ribosomal protein S20 (RPS20B)	3	17453674	17454435
252414_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47420	glycerol-3-phosphate transporter, putative / glycerol 3-phosphate permease, putative	3	17472592	17472990
252415_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47340	ASN1 (GLUTAMINE-DEPENDENT ASPARAGINE SYNTHASE 1); asparagine synthase (glutamine-hydrolyzing)	3	17438188	17438987
252416_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47460	ATSMC2; transporter	3	17492497	17493127
252417_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47480	calcium-binding EF hand family protein	3	17496527	17496905
252418_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47490	HNH endonuclease domain-containing protein	3	17498463	17500721
252419_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47510	unknown protein	3	17511177	17511615
252420_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47530	pentatricopeptide (PPR) repeat-containing protein	3	17517395	17517946
252421_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47540	chitinase, putative	3	17521100	17521985
252422_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47550	zinc finger (C3HC4-type RING finger) family protein	3	17524195	17525240
252423_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47590	esterase/lipase/thioesterase family protein	3	17536177	17536798
252424_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47610	transcription regulator/ zinc ion binding	3	17550256	17551202
252425_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47620	AtTCP14 (TEOSINTE BRANCHED1, CYCLOIDEA and PCF (TCP) 14); transcription factor	3	17559940	17560406
252426_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47630	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Mitochondrial matrix Mmp37 (InterPro:IPR015222); Has 224 Blast hits to 224 proteins in 115 species: Archae - 0; Bacteria - 0; Metazoa - 94; Fungi - 92; Plants - 19; Viruses - 0; Other Eukaryotes - 19 (source: NCBI BLink).	3	17563254	17564169
252427_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47640	basic helix-loop-helix (bHLH) family protein	3	17568268	17569082
252428_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47660	Ran GTPase binding / chromatin binding / zinc ion binding	3	17574076	17574415
252429_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47500	CDF3 (CYCLING DOF FACTOR 3); DNA binding / protein binding / transcription factor	3	17504293	17504771
252430_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47470	LHCA4 (LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX I SUBUNIT A4); chlorophyll binding	3	17493624	17494595
252431_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47700	MAG2 (maigo2)	3	17583837	17584366
252432_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47680	DNA binding	3	17577515	17578071
252433_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47560	esterase/lipase/thioesterase family protein	3	17525686	17526337
252434_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G09380;AT1G36090;AT1G23920;AT4G28970;AT3G47310;AT5G44416	[AT4G09380, transposable element gene];[AT1G36090, transposable element gene];[AT1G23920, transposable element gene];[AT4G28970, transposable element gene];[AT3G47310, transposable element gene];[AT5G44416, transposable element gene]	[AT4G09380, 4];[AT1G36090, 1];[AT1G23920, 1];[AT4G28970, 4];[AT3G47310, 3];[AT5G44416, 5]	[AT4G09380, 5948578];[AT1G36090, 13487736];[AT1G23920, 8456390];[AT4G28970, 14285294];[AT3G47310, 17432189];[AT5G44416, 17898540]	[AT4G09380, 5948684];[AT1G36090, 13487842];[AT1G23920, 8456496];[AT4G28970, 14285400];[AT3G47310, 17432295];[AT5G44416, 17898646]
252435_at	oligonucleotide	Arabidopsis thaliana	no	AT5G37385;AT3G47320;AT4G09380;AT2G23720;AT4G28970;AT5G44416	[AT5G37385, transposable element gene];[AT3G47320, transposable element gene];[AT4G09380, transposable element gene];[AT2G23720, transposable element gene];[AT4G28970, transposable element gene];[AT5G44416, transposable element gene]	[AT5G37385, 5];[AT3G47320, 3];[AT4G09380, 4];[AT2G23720, 2];[AT4G28970, 4];[AT5G44416, 5]	[AT5G37385, 14830590];[AT3G47320, 17433596];[AT4G09380, 5947236];[AT2G23720, 10089302];[AT4G28970, 14284093];[AT5G44416, 17897285]	[AT5G37385, 14830620];[AT3G47320, 17433628];[AT4G09380, 5947268];[AT2G23720, 10089334];[AT4G28970, 14284125];[AT5G44416, 17897317]
252436_x_at	oligonucleotide	Arabidopsis thaliana	no	AT5G44415;AT1G36080;AT1G23930;AT3G47330;AT4G09370	[AT5G44415, transposable element gene];[AT1G36080, transposable element gene];[AT1G23930, transposable element gene];[AT3G47330, transposable element gene];[AT4G09370, transposable element gene]	[AT5G44415, 5];[AT1G36080, 1];[AT1G23930, 1];[AT3G47330, 3];[AT4G09370, 4]	[AT5G44415, 17895722];[AT1G36080, 13484919];[AT1G23930, 8459176];[AT3G47330, 17434587];[AT4G09370, 5945417]	[AT5G44415, 17896287];[AT1G36080, 13485484];[AT1G23930, 8459741];[AT3G47330, 17435140];[AT4G09370, 5945982]
252437_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47380	invertase/pectin methylesterase inhibitor family protein	3	17457806	17458265
252438_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47390	cytidine/deoxycytidylate deaminase family protein	3	17463848	17464655
252439_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47400	pectinesterase family protein	3	17467373	17467881
252440_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47440	TIP5;1 (tonoplast intrinsic protein 5;1); urea transmembrane transporter/ water channel	3	17482317	17482920
252441_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46780	PTAC16 (PLASTID TRANSCRIPTIONALLY ACTIVE 16); binding / catalytic	3	17229107	17229917
252442_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46940	deoxyuridine 5'-triphosphate nucleotidohydrolase family	3	17288387	17288852
252443_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46960	ATP binding / ATP-dependent helicase/ helicase/ hydrolase, acting on acid anhydrides, in phosphorus-containing anhydrides / nucleic acid binding	3	17291019	17291867
252444_at	oligonucleotide	Arabidopsis thaliana	no	AT3G46980	transporter-related	3	17307452	17308301
252445_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47000	glycosyl hydrolase family 3 protein	3	17313866	17314474
252446_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47010	hydrolase, hydrolyzing O-glycosyl compounds	3	17316790	17317428
252447_at	oligonucleotide	Arabidopsis thaliana	no	AT3G47040	glycosyl hydrolase family 3 protein	3	17324245	17324900
